"OePNV","kiezblocks","Fahrrad","Verbrenner","E_Fahrzeuge","DRT","Anwohnerparken","Besucherparken","CO2","Kosten","traffic","parking","KostenProKopf","KostenProErwachsener"
"stark","ganze Stadt","stark","Maut","Maut","base","10 €/Jahr","0,00 €/h",0.45,2326500000,0.45,0.7,612.236842105263,760.294117647059
"base","base","base","Verbot","Maut","base","10 €/Jahr","0,00 €/h",0.01,1970900000,0.55,0.65,518.657894736842,644.084967320262
"dekarbonisiert","base","base","Verbot","Maut","base","10 €/Jahr","0,00 €/h",0,1920900000,0.55,0.65,505.5,627.745098039216
"stark","base","base","Verbot","Maut","base","10 €/Jahr","0,00 €/h",0,1420900000,0.5,0.6,373.921052631579,464.346405228758
"base","Innenstadt","base","Verbot","Maut","base","10 €/Jahr","0,00 €/h",0.01,1867350000,0.5,0.6,491.407894736842,610.245098039216
"dekarbonisiert","Innenstadt","base","Verbot","Maut","base","10 €/Jahr","0,00 €/h",0,1817350000,0.5,0.6,478.25,593.90522875817
"stark","Innenstadt","base","Verbot","Maut","base","10 €/Jahr","0,00 €/h",0,1317350000,0.45,0.6,346.671052631579,430.506535947713
"base","ganze Stadt","base","Verbot","Maut","base","10 €/Jahr","0,00 €/h",0.01,1763800000,0.5,0.6,464.157894736842,576.40522875817
"dekarbonisiert","ganze Stadt","base","Verbot","Maut","base","10 €/Jahr","0,00 €/h",0,1713800000,0.5,0.6,451,560.065359477124
"stark","ganze Stadt","base","Verbot","Maut","base","10 €/Jahr","0,00 €/h",0,1213800000,0.45,0.55,319.421052631579,396.666666666667
"base","base","stark","Verbot","Maut","base","10 €/Jahr","0,00 €/h",0.01,1703800000,0.5,0.6,448.368421052632,556.797385620915
"dekarbonisiert","base","stark","Verbot","Maut","base","10 €/Jahr","0,00 €/h",0,1653800000,0.5,0.6,435.21052631579,540.457516339869
"stark","base","stark","Verbot","Maut","base","10 €/Jahr","0,00 €/h",0,1153800000,0.45,0.55,303.631578947368,377.058823529412
"base","Innenstadt","stark","Verbot","Maut","base","10 €/Jahr","0,00 €/h",0.01,1610105000,0.45,0.6,423.711842105263,526.178104575163
"dekarbonisiert","Innenstadt","stark","Verbot","Maut","base","10 €/Jahr","0,00 €/h",0,1560105000,0.45,0.6,410.553947368421,509.838235294118
"stark","Innenstadt","stark","Verbot","Maut","base","10 €/Jahr","0,00 €/h",0,1060105000,0.4,0.55,278.975,346.43954248366
"base","ganze Stadt","stark","Verbot","Maut","base","10 €/Jahr","0,00 €/h",0.01,1516410000,0.45,0.55,399.055263157895,495.558823529412
"dekarbonisiert","ganze Stadt","stark","Verbot","Maut","base","10 €/Jahr","0,00 €/h",0,1466410000,0.45,0.55,385.897368421053,479.218954248366
"stark","ganze Stadt","stark","Verbot","Maut","base","10 €/Jahr","0,00 €/h",0,966410000,0.4,0.55,254.318421052632,315.820261437909
"base","base","base","base","Verbot","base","10 €/Jahr","0,00 €/h",1,-1e+05,1,1,-0.0263157894736842,-0.0326797385620915
"dekarbonisiert","base","base","base","Verbot","base","10 €/Jahr","0,00 €/h",0.99,-50100000,1,1,-13.1842105263158,-16.3725490196078
"stark","base","base","base","Verbot","base","10 €/Jahr","0,00 €/h",0.9,-550100000,0.9,0.95,-144.763157894737,-179.771241830065
"base","Innenstadt","base","base","Verbot","base","10 €/Jahr","0,00 €/h",0.9505,-5100000,0.95,1,-1.34210526315789,-1.66666666666667
"dekarbonisiert","Innenstadt","base","base","Verbot","base","10 €/Jahr","0,00 €/h",0.95,-55100000,0.95,1,-14.5,-18.0065359477124
"stark","Innenstadt","base","base","Verbot","base","10 €/Jahr","0,00 €/h",0.85,-555100000,0.85,0.95,-146.078947368421,-181.40522875817
"base","ganze Stadt","base","base","Verbot","base","10 €/Jahr","0,00 €/h",0.9,-10100000,0.9,0.95,-2.65789473684211,-3.30065359477124
"dekarbonisiert","ganze Stadt","base","base","Verbot","base","10 €/Jahr","0,00 €/h",0.9,-60100000,0.9,0.95,-15.8157894736842,-19.640522875817
"stark","ganze Stadt","base","base","Verbot","base","10 €/Jahr","0,00 €/h",0.8,-560100000,0.8,0.9,-147.394736842105,-183.039215686275
"base","base","stark","base","Verbot","base","10 €/Jahr","0,00 €/h",0.9,-70100000,0.9,0.95,-18.4473684210526,-22.9084967320261
"dekarbonisiert","base","stark","base","Verbot","base","10 €/Jahr","0,00 €/h",0.9,-120100000,0.9,0.95,-31.6052631578947,-39.2483660130719
"stark","base","stark","base","Verbot","base","10 €/Jahr","0,00 €/h",0.8,-620100000,0.8,0.9,-163.184210526316,-202.647058823529
"base","Innenstadt","stark","base","Verbot","base","10 €/Jahr","0,00 €/h",0.85,-75100000,0.85,0.95,-19.7631578947368,-24.5424836601307
"dekarbonisiert","Innenstadt","stark","base","Verbot","base","10 €/Jahr","0,00 €/h",0.85,-125100000,0.85,0.95,-32.9210526315789,-40.8823529411765
"stark","Innenstadt","stark","base","Verbot","base","10 €/Jahr","0,00 €/h",0.75,-625100000,0.75,0.9,-164.5,-204.281045751634
"base","ganze Stadt","stark","base","Verbot","base","10 €/Jahr","0,00 €/h",0.8,-80100000,0.8,0.9,-21.078947368421,-26.1764705882353
"dekarbonisiert","ganze Stadt","stark","base","Verbot","base","10 €/Jahr","0,00 €/h",0.8,-130100000,0.8,0.9,-34.2368421052632,-42.516339869281
"stark","ganze Stadt","stark","base","Verbot","base","10 €/Jahr","0,00 €/h",0.75,-630100000,0.75,0.85,-165.815789473684,-205.915032679739
"base","base","base","Maut","Verbot","base","10 €/Jahr","0,00 €/h",0.6,1459900000,0.8,0.9,384.184210526316,477.091503267974
"dekarbonisiert","base","base","Maut","Verbot","base","10 €/Jahr","0,00 €/h",0.6,1409900000,0.8,0.9,371.026315789474,460.751633986928
"stark","base","base","Maut","Verbot","base","10 €/Jahr","0,00 €/h",0.55,909900000,0.7,0.85,239.447368421053,297.352941176471
