"OePNV","kiezblocks","Fahrrad","fahrenderVerkehr","DRT","Parkraum","CO2","Kosten","traffic","parking","drtTraffic","KostenProKopf","KostenProErwachsener"
"base","base","base","zeroEmissionsZone","nurAussenbezirke","base",0.01,0,0.95,0.9,0.02275,-0.00263157894736842,-0.00326797385620915
"dekarbonisiert","base","base","zeroEmissionsZone","nurAussenbezirke","base",0,-5e+07,0.95,0.9,0.02275,-13.1605263157895,-16.343137254902
"stark","base","base","zeroEmissionsZone","nurAussenbezirke","base",0,-5.5e+08,0.95,0.85,0.043225,-144.739473684211,-179.741830065359
"base","ganze Stadt","base","zeroEmissionsZone","nurAussenbezirke","base",0.01,-1e+07,0.95,0.85,0.043225,-2.63421052631579,-3.27124183006536
"dekarbonisiert","ganze Stadt","base","zeroEmissionsZone","nurAussenbezirke","base",0,-6e+07,0.95,0.85,0.043225,-15.7921052631579,-19.6111111111111
"stark","ganze Stadt","base","zeroEmissionsZone","nurAussenbezirke","base",0,-5.6e+08,0.9,0.8,0.0616525,-147.371052631579,-183.009803921569
"base","base","stark","zeroEmissionsZone","nurAussenbezirke","base",0.01,-7e+07,0.95,0.85,0.043225,-18.4236842105263,-22.8790849673203
"dekarbonisiert","base","stark","zeroEmissionsZone","nurAussenbezirke","base",0,-1.2e+08,0.95,0.85,0.043225,-31.5815789473684,-39.218954248366
"stark","base","stark","zeroEmissionsZone","nurAussenbezirke","base",0,-6.2e+08,0.9,0.8,0.0616525,-163.160526315789,-202.617647058824
"base","ganze Stadt","stark","zeroEmissionsZone","nurAussenbezirke","base",0.01,-8e+07,0.9,0.8,0.0616525,-21.0552631578947,-26.1470588235294
"dekarbonisiert","ganze Stadt","stark","zeroEmissionsZone","nurAussenbezirke","base",0,-1.3e+08,0.9,0.8,0.0616525,-34.2131578947368,-42.4869281045752
"stark","ganze Stadt","stark","zeroEmissionsZone","nurAussenbezirke","base",0,-6.3e+08,0.9,0.75,0.07823725,-165.792105263158,-205.885620915033
"base","base","base","zeroEmissionsZonePlusMaut","nurAussenbezirke","base",0.01,2.04e+09,0.85,0.65,0.10465,537.251754385965,667.175381263617
"dekarbonisiert","base","base","zeroEmissionsZonePlusMaut","nurAussenbezirke","base",0,1.99e+09,0.85,0.65,0.10465,524.093859649123,650.835511982571
"stark","base","base","zeroEmissionsZonePlusMaut","nurAussenbezirke","base",0,1.45e+09,0.8,0.6,0.116935,380.412280701755,472.407407407408
"base","ganze Stadt","base","zeroEmissionsZonePlusMaut","nurAussenbezirke","base",0.01,1.99e+09,0.8,0.6,0.116935,522.517543859649,648.877995642702
